"Record ID","Company name","Company owner","Create Date","Phone Number","Last Activity Date","City","Country/Region","Industry"
"182185810681","Evergreen - Mitchell Corp","","2025-10-12 14:18"," +1-512-384-5089","","Charlotte","United States",""
"180282258143","BlueSky & Gonzalez PLC","","2025-10-12 14:18"," +1-703-524-9666","","Los Angeles","United States",""
"182153438939","BlueSky & Mitchell Partners","","2025-10-12 14:18"," +1-469-267-8738","","Houston","United States",""
"182121246421","Lighthouse Williams PLC","","2025-10-12 14:18"," +1-704-414-6774","","Denver","United States",""
"182189407977","Momentum & Young PLC","","2025-10-12 14:18"," +1-212-840-6193","","Buffalo","United States",""
"182185810680","NorthStar Clark Corp","","2025-10-12 14:18"," +1-801-953-1002","","Denver","United States",""
"182180411109","BlueSky & Flores LLC","","2025-10-12 14:18"," +1-718-289-6899","","Buffalo","United States",""
"182169630426","Pioneer Allen Inc","","2025-10-12 14:18"," +1-737-851-2480","","Boston","United States",""
"182212327107","Momentum & Wilson LLC","","2025-10-12 14:18"," +1-929-351-9638","","Spokane","United States",""
"182191208153","Pioneer - Carter Corp","","2025-10-12 14:18"," +1-737-872-9659","","San Antonio","United States",""
"182187609789","Apex - Young Inc","","2025-10-12 14:18"," +1-901-273-2720","","Raleigh","United States",""
"182169630425","BlueSky - Martin Group","","2025-10-12 14:18"," +1-858-840-9028","","Worcester","United States",""
"182153438938","BlueSky - Harris Solutions","","2025-10-12 14:18"," +1-718-629-5730","","Worcester","United States",""
"182215920370","Apex - Young Ltd","","2025-10-12 14:18"," +1-312-683-1762","","Chicago","United States",""
"182158838490","Momentum & Johnson Inc","","2025-10-12 14:18"," +1-704-950-2535","","Spokane","United States",""
"182184010439","Evergreen & Anderson PLC","","2025-10-12 14:18"," +1-212-975-6852","","Aurora","United States",""
"182187609788","Evergreen - Gonzalez PLC","","2025-10-12 14:18"," +1-917-607-9173","","Atlanta","United States",""
"182185810679","BlueSky - Garcia Holdings","","2025-10-12 14:18"," +1-704-497-3346","","Rochester","United States",""
"182153438937","Apex & Robinson PLC","","2025-10-12 14:18"," +1-901-293-3547","","Seattle","United States",""
"181632690881","Momentum - Scott Inc","","2025-10-12 14:18"," +1-901-335-7222","","Boston","United States",""
"182158838489","Evergreen - Mitchell Technologies","","2025-10-12 14:18"," +1-929-708-7781","","Atlanta","United States",""
"182187609787","Clearview - Lee Technologies","","2025-10-12 14:18"," +1-737-776-9766","","Savannah","United States",""
"180282258142","Summit & Rivera Inc","","2025-10-12 14:18"," +1-212-435-4093","","Atlanta","United States",""
"182193008352","NorthStar Mitchell Technologies","","2025-10-12 14:18"," +1-469-865-8913","","Charlotte","United States",""
"182121246420","Momentum - Roberts Ltd","","2025-10-12 14:18"," +1-646-861-4624","","Raleigh","United States",""
"182180411108","Clearview & Jackson Partners","","2025-10-12 14:18"," +1-312-767-2197","","Jacksonville","United States",""
"182193008351","NorthStar & Wilson PLC","","2025-10-12 14:18"," +1-917-992-4246","","Naperville","United States",""
"182182211285","Summit - Moore Corp","","2025-10-12 14:18"," +1-858-704-4993","","Spokane","United States",""
"181385759456","NorthStar Davis Technologies","","2025-10-12 14:18"," +1-213-277-6459","","Rochester","United States",""
"181385759455","Clearview - Hernandez Holdings","","2025-10-12 14:18"," +1-901-895-8840","","Spokane","United States",""
"182191208152","Clearview - Adams Inc","","2025-10-12 14:18"," +1-212-737-2244","","Miami","United States",""
"182169630424","NorthStar - Green Solutions","","2025-10-12 14:18"," +1-737-831-8719","","Aurora","United States",""
"181385759454","Pioneer - Williams Technologies","","2025-10-12 14:18"," +1-312-384-7229","","San Antonio","United States",""
"182189407976","NorthStar - Wright Holdings","","2025-10-12 14:18"," +1-704-563-1005","","San Francisco","United States",""
"180282258141","BlueSky & Hernandez Technologies","","2025-10-12 14:18"," +1-312-894-1428","","Naperville","United States",""
