month,revenue,orders_count,avg_order_value,customer_acquisition_cost,customer_lifetime_value,churn_rate,retention_rate,conversion_rate
2023-01,1250765.9316070075,5009,196.72841789928836,49.7214762714645,308.3306293553685,0.2678704036877869,0.8403577083375274,0.27061678669640576
2023-01,1034410.5507170998,5072,203.68877501803883,50.187124534331204,543.3416887682337,0.2169856865353197,0.9182413416856224,0.1819397008098649
2023-03,949348.4083083387,4984,196.49809226208677,39.532083046316544,548.8963200811064,0.09233402885825487,0.7268570916952344,0.16630678646134134
2023-04,1058933.221047162,4948,142.5918033192134,33.48563913845085,463.025882092312,0.41834462304537934,0.523520472016672,0.2599941356154493
2023-05,701499.8675279815,5056,270.575560793122,49.92618255023228,583.1839559483816,0.5296042074376452,0.8183441451203015,0.42609081700181667
2023-05,1044784.5239682095,4947,136.71594417543147,32.79149667042747,275.1820411873565,0.12140613840516692,0.9172921416863719,0.2520653222096445
2023-06,800848.9190056345,5049,240.22005597030608,49.55059012704939,375.73297729284957,0.29775000957250114,0.5637081887672888,0.50377690146681
2023-07,1018310.1661701812,5098,97.7411036091067,55.24541819884196,566.1979268307927,0.14193146467408285,0.7756748531265563,0.40153976369260885
2023-08,924242.7941252816,4848,178.31852091683837,62.870314827419534,440.1160305956931,0.35614041355338216,0.9129822435652875,0.2525010690102619
2023-09,990100.9764835424,4815,255.14199016196983,41.39144278018211,665.6426251947305,0.13087264698344545,0.6753344415612672,0.25953640967052877
2023-10,995480.2056068222,4938,203.52835187179932,50.70410184146278,287.86206675810183,0.31413541369828596,0.6831917999253083,0.3968211558458665
2023-11,983299.3952502825,5020,128.1052892898403,53.1867299069437,307.5616292535762,0.1750244755834019,0.9060062120534923,0.49115975511871
2023-12,1167015.0418119158,5062,270.8313010238078,48.11691140360944,493.9556771946721,0.0363884677110054,0.8505923776091194,0.37915121508390953
2024-01,946118.2932547878,5067,141.66143148482274,39.56081102025823,258.41848660953036,0.1166010566404286,0.9106042326319106,0.1303707515719689
2024-02,974963.9206617253,4849,259.46500201244874,50.12824301191536,463.1881225840539,0.16893332086282792,0.8744299061283424,0.2085131063170066
2024-03,968831.6301834809,4977,81.0118921236326,62.17952968808683,418.4800683247374,0.16289847922114892,0.8951890117090943,0.4416348258561342
2024-04,877373.0889797425,5141,198.01626786090475,53.80045908591942,412.37242822882786,0.1343490832403112,0.7171255977184783,0.3867642989664448
2024-05,1000086.9460548259,4999,197.0534424283504,43.161530449841756,431.8083775912657,0.6245251094804812,0.8734830275730814,0.14451185682119452
2024-06,996127.1295082642,5051,191.75012014521295,40.57743416997041,532.4289918765977,0.19920714655147212,0.6309065513425428,0.515922784448469
2024-07,1046891.2878760447,5078,202.40500578405224,52.993240567688424,549.1856791965729,0.21989694151127787,0.9470868567983508,0.47513839511908185
2024-08,1010657.1839422882,5029,194.34829233729593,46.90127490201208,511.14624438898113,0.08639525358669976,0.4592863961931891,0.27664156686654556
2024-09,966247.2580260938,5010,235.17744633077336,45.90963924673372,568.6251478051247,0.08279116313014322,0.7408511477035654,0.146325760495232
2024-10,1059560.8645242178,4921,251.36611684437878,52.23627837730665,352.73752261279617,0.1625014469139335,0.942978491538721,0.22050372804544666
2024-11,981338.2600376984,5088,251.94770400734768,50.25197898948266,480.7826693028969,0.07738548783169967,0.8760029711260378,0.2735249995153456
